    0.26576E-02    0.92900E+04
    0.27113E-02    0.94457E+04
    0.27660E-02    0.96035E+04
    0.28219E-02    0.97632E+04
    0.28789E-02    0.99248E+04
    0.29371E-02    0.10088E+05
    0.29964E-02    0.10254E+05
    0.30569E-02    0.10421E+05
    0.31187E-02    0.10590E+05
    0.31817E-02    0.10762E+05
    0.32460E-02    0.10935E+05
    0.33115E-02    0.11110E+05
    0.33784E-02    0.11286E+05
    0.34467E-02    0.11465E+05
    0.35163E-02    0.11645E+05
    0.35874E-02    0.11827E+05
    0.36598E-02    0.12011E+05
    0.37338E-02    0.12197E+05
    0.38092E-02    0.12384E+05
    0.38861E-02    0.12573E+05
    0.39646E-02    0.12764E+05
    0.40447E-02    0.12956E+05
    0.41264E-02    0.13150E+05
    0.42098E-02    0.13345E+05
    0.42948E-02    0.13542E+05
    0.43816E-02    0.13740E+05
    0.44701E-02    0.13940E+05
    0.45604E-02    0.14141E+05
    0.46525E-02    0.14343E+05
    0.47465E-02    0.14546E+05
    0.48424E-02    0.14751E+05
    0.49402E-02    0.14956E+05
    0.50400E-02    0.15163E+05
    0.51419E-02    0.15370E+05
    0.52457E-02    0.15579E+05
    0.53517E-02    0.15788E+05
    0.54598E-02    0.15998E+05
    0.55701E-02    0.16209E+05
    0.56826E-02    0.16420E+05
    0.57974E-02    0.16632E+05
    0.59145E-02    0.16844E+05
    0.60340E-02    0.17057E+05
    0.61559E-02    0.17269E+05
    0.62803E-02    0.17481E+05
    0.64072E-02    0.17693E+05
    0.65366E-02    0.17905E+05
    0.66686E-02    0.18117E+05
    0.68033E-02    0.18329E+05
    0.69408E-02    0.18539E+05
    0.70810E-02    0.18749E+05
    0.72240E-02    0.18958E+05
    0.73700E-02    0.19167E+05
    0.75189E-02    0.19374E+05
    0.76708E-02    0.19580E+05
    0.78257E-02    0.19784E+05
    0.79838E-02    0.19987E+05
    0.81451E-02    0.20188E+05
    0.83096E-02    0.20387E+05
    0.84775E-02    0.20583E+05
    0.86488E-02    0.20778E+05
    0.88235E-02    0.20970E+05
    0.90017E-02    0.21159E+05
    0.91836E-02    0.21346E+05
    0.93691E-02    0.21529E+05
    0.95583E-02    0.21710E+05
    0.97514E-02    0.21886E+05
    0.99484E-02    0.22059E+05
    0.10149E-01    0.22228E+05
    0.10354E-01    0.22393E+05
    0.10564E-01    0.22554E+05
    0.10777E-01    0.22710E+05
    0.10995E-01    0.22861E+05
    0.11217E-01    0.23007E+05
    0.11443E-01    0.23147E+05
    0.11675E-01    0.23282E+05
    0.11910E-01    0.23411E+05
    0.12151E-01    0.23534E+05
    0.12397E-01    0.23650E+05
    0.12647E-01    0.23760E+05
    0.12902E-01    0.23864E+05
    0.13163E-01    0.23960E+05
    0.13429E-01    0.24049E+05
    0.13700E-01    0.24131E+05
    0.13977E-01    0.24204E+05
    0.14259E-01    0.24268E+05
    0.14547E-01    0.24323E+05
    0.14841E-01    0.24368E+05
    0.15141E-01    0.24404E+05
    0.15447E-01    0.24432E+05
    0.15759E-01    0.24454E+05
    0.16077E-01    0.24470E+05
    0.16402E-01    0.24479E+05
    0.16734E-01    0.24481E+05
    0.17072E-01    0.24474E+05
    0.17416E-01    0.24454E+05
    0.17768E-01    0.24421E+05
    0.18127E-01    0.24373E+05
